sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ16_CADASIL_C224Y,ENST00000446046.5,9.45570107306638,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000443816.5,6.95409115451958,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000432072.6,7.35425072190841,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000354785.11,10.3026138912823,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000498719.1,1.63461999813545,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000456923.5,9.84307781186669,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000494446.1,2.94897487331802,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000469569.1,1.17613224282321,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000473614.1,2.37460378386457,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000480024.1,3.5630027240193,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000461974.1,6.54276894100289,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000485567.1,-1.41924687384328,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000460217.1,-0.161449116375635,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000474036.1,5.08163829414035,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000490833.5,-2.2423691117592,FN1,protein_coding_CDS_not_defined,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
