logFC,AveExpr,t,P.Value,adj.P.Val,B,transcript_id,gene_name,transcript_type,contrast
-2.39117475348703,-2.930138246468,-0.913828009793139,0.416601852345855,0.827191013656485,-4.59523939527578,ENST00000539099.2,FLT1,nonsense_mediated_decay,vsmc_C224Y_cluster_CAD_vs_ISO
1.62040824078822,-2.00811874457248,0.722965275817694,0.512908332875876,0.832093187423931,-4.5954246172893,ENST00000541932.5,FLT1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
2.49113320924318,-4.35987955640621,0.619781208279324,0.571653117749455,0.832093187423931,-4.59531018286277,ENST00000617835.5,FLT1,protein_coding_CDS_not_defined,vsmc_C224Y_cluster_CAD_vs_ISO
0.559497929311493,-1.21646747662564,0.368654149766792,0.732576566431249,0.860458940932289,-4.59660871060891,ENST00000615840.5,FLT1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-0.130229388286053,-1.60133192585441,-0.0693553335902489,0.948304866643215,0.974938159413913,-4.59670043998723,ENST00000282397.9,FLT1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-3.06823653529845,-3.45845908004171,-1.21498603040356,0.296435987507241,0.764106049424023,-4.59488204772506,ENST00000393347.7,FLT4,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.71583921649074,-3.06876687777372,-0.668079224517208,0.543582776332568,0.832093187423931,-4.59551333888614,ENST00000510000.1,FLT4,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
2.43354850211988,-4.39424405406092,0.610768193722939,0.577001188883841,0.832093187423931,-4.59531297653559,ENST00000514810.1,FLT4,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
2.26023926975268,-4.19335588657604,0.501371376899056,0.64456616094365,0.832093187423931,-4.59536587168787,ENST00000502603.5,FLT4,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
0.368210290878655,-1.70494989663397,0.218605653131841,0.838523112017918,0.917539181691514,-4.59635783480739,ENST00000261937.11,FLT4,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-3.18106340761508,8.07523409059663,-18.0257076067537,9.94878189416007e-05,0.733481482836442,-4.20053174592971,ENST00000443816.5,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.61949443822696,10.8451553783781,-11.5080995952922,0.000507321322627306,0.733481482836442,-3.81399268773531,ENST00000354785.11,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-16.2687492751666,-0.603739222181909,-8.08114591247531,0.00179029047584201,0.733481482836442,-4.5920272703502,ENST00000336916.8,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-0.962760435758504,11.2824576827184,-7.88958645605557,0.00194797788547123,0.733481482836442,-3.79230421385687,ENST00000323926.10,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
