logFC,AveExpr,t,P.Value,adj.P.Val,B,transcript_id,gene_name,transcript_type,contrast
1.24375190922529,3.07083584667843,2.44022606876352,0.0766219356244913,0.733481482836442,-4.56393122375236,ENST00000488147.1,WASH7P,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
-1.16099242238318,-2.52779009413366,-0.598913977378258,0.584087031407623,0.832093187423931,-4.59570922936816,ENST00000466430.5,ENSG00000238009,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
3.54143518911215,-3.57931577316995,1.11759897599915,0.331255380132353,0.776959872154843,-4.59504759534603,ENST00000495576.1,ENSG00000239945,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.06089925918923,1.72480104373889,2.96791864095798,0.0457007026512844,0.733481482836442,-4.57679502291455,ENST00000494149.2,ENSG00000268903,processed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
0.742363659193603,0.127125874322581,0.417810311263068,0.699269772388567,0.842187940833168,-4.59868132770665,ENST00000595919.1,ENSG00000269981,processed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
0.734112450452898,0.183368851862712,0.773696833798585,0.48573385115524,0.832093187423931,-4.59681045811979,ENST00000484859.1,ENSG00000241860,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.614111881834752,1.37878363527095,0.964934791332507,0.393539575635777,0.811224077356803,-4.59571076311251,ENST00000466557.6,ENSG00000241860,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
3.27645314840428,-3.92929084828051,0.702235965844971,0.524338689475231,0.832093187423931,-4.59528412215748,ENST00000662089.1,ENSG00000241860,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.15647498169001,1.15954710550788,1.22110151834382,0.294370407229772,0.762942156812116,-4.59247211730544,ENST00000491962.1,ENSG00000241860,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.05742213993733,3.65098708405708,2.55902407056669,0.0679281475239049,0.733481482836442,-4.55378922422935,ENST00000623083.4,WASH9P,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
-0.576514677547814,-0.634667696324369,-0.591168370692536,0.588748600559193,0.832093187423931,-4.59745465850444,ENST00000442116.1,ENSG00000228463,processed_transcript,vsmc_C224Y_cluster_CAD_vs_ISO
1.69249226579914,-2.43882785035719,0.669575832744239,0.542728961495039,0.832093187423931,-4.59540047592759,ENST00000424587.7,ENSG00000228463,processed_transcript,vsmc_C224Y_cluster_CAD_vs_ISO
-0.166257936470114,2.52376442792842,-0.304804693957862,0.776944110388637,0.884672701957676,-4.60987065182506,ENST00000458203.2,RPL23AP24,processed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
5.51956066870811,-2.18051670223545,1.84192559362055,0.145376605921371,0.738860670264341,-4.59457486628697,ENST00000601814.5,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.44061232393809,-1.18443602586084,0.812905082738596,0.465513647712611,0.832093187423931,-4.59549801265896,ENST00000419160.4,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
3.24894214184143,-3.94303173585601,0.700555285388131,0.525273693153905,0.832093187423931,-4.59528458369052,ENST00000440038.7,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.3542525576428,0.97468976646346,1.54608056309327,0.202942096674784,0.746850495380119,-4.58958807357435,ENST00000642074.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.231957718966164,-0.395380328029238,0.204543706004841,0.84872239846101,0.922832621726951,-4.598704187185,ENST00000423728.6,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.55064080792214,-0.503015615299635,1.48695450486666,0.217109997038407,0.747627857172122,-4.59406910137815,ENST00000616311.5,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.60915471125347,2.86471218727699,1.92966394162772,0.13191872476536,0.735092112902515,-4.57595886955774,ENST00000599771.6,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
6.5318469042729,-1.52811165773438,2.2782152818138,0.0906394381273072,0.733481482836442,-4.59434837270921,ENST00000641845.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
5.44026774416885,-2.18445851403438,1.4369167569194,0.229898407025703,0.748759836026868,-4.5948214460868,ENST00000641916.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.19135827228103,0.657164203818167,0.27202393023771,0.800155512617057,0.897109316138461,-4.60182713547346,ENST00000616947.2,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.74527425981015,-3.73205089264836,0.494328593067795,0.649077783436466,0.832093187423931,-4.59538907124875,ENST00000432964.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.08684981456346,1.34858452544226,1.13393895491163,0.325155088635918,0.7740668404577,-4.59339587238045,ENST00000608420.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.898306326253456,-0.905810100723112,-0.842838723366631,0.45053617304758,0.832093187423931,-4.59595554864638,ENST00000641303.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.39935577437742,-0.995035301136313,-0.956439063616161,0.397294779133349,0.813922962354256,-4.59533194089798,ENST00000641049.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.3580770285743,0.248893457435574,1.32920825429426,0.260092763969884,0.752324623033077,-4.59303044372499,ENST00000642124.1,ENSG00000290385,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.956957612055574,2.64348175090262,1.73112762682156,0.164562479649138,0.744729135624627,-4.57896336289472,ENST00000514436.1,ENSG00000250575,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
-5.92370699089075,-4.05208665027385,-2.78065664957188,0.0546049572376964,0.733481482836442,-4.59337311619185,ENST00000419394.2,ENSG00000230021,processed_transcript,vsmc_C224Y_cluster_CAD_vs_ISO
-0.865648862244933,1.55138481398852,-0.837962749436239,0.452948775563358,0.832093187423931,-4.59837521139093,ENST00000416931.1,MTND1P23,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
-0.527853091805523,6.14203586841339,-1.97782484880669,0.125121526155291,0.733481482836442,-4.52332884621199,ENST00000457540.1,MTND2P28,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
0.231666469484469,4.70400096127424,0.416189551901335,0.70035525475372,0.842735215414608,-4.6208664323479,ENST00000414273.1,MTCO1P12,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
1.4509690090817,-0.701733117975585,0.988127712270714,0.383446176456082,0.804288253971738,-4.59515943747441,ENST00000427426.1,MTCO2P12,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
0.0217885486057245,9.36016709844747,0.104224886221499,0.922413586024554,0.962288180380515,-4.72019454201221,ENST00000514057.1,MTATP6P1,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
-0.576566493329808,0.428464837419407,-0.668691827927562,0.543233169017912,0.832093187423931,-4.59885485414356,ENST00000416718.2,MTCO3P12,unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
1.11344155455682,2.23580505230044,1.85298883651521,0.143599241448565,0.738044437581426,-4.57974165444872,ENST00000506640.3,ENSG00000291215,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-5.00032827249366,-4.35987955640621,-2.23008681137591,0.0953559424672622,0.733481482836442,-4.59389276704011,ENST00000669749.1,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.928638739210503,-2.43882785035719,0.397353995847895,0.713034717841286,0.849764722650093,-4.59566347610441,ENST00000443772.2,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.19839611941913,-4.24272209957242,0.496036254252569,0.647982122601506,0.832093187423931,-4.59536589387348,ENST00000585826.1,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-3.46296149055096,-2.8681547713452,-1.56731041578011,0.198093337316146,0.746803145639719,-4.59430244326937,ENST00000592547.1,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
5.37678398305774,-2.33784982625362,1.73735419268379,0.163414362409729,0.744729135624627,-4.59463713350966,ENST00000585768.5,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
4.0758204623202,-3.14725487915301,1.36123121225917,0.250719959878468,0.751367944922465,-4.59488654781375,ENST00000590848.5,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.2124664629355,-2.48830960836781,-1.24285969609453,0.287133691569012,0.760844705114041,-4.59467831745991,ENST00000591702.1,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.471944741928129,-2.1077899788856,0.241744187250463,0.821827028573775,0.90880173370334,-4.59600521117265,ENST00000667728.1,LINC01409,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.525791283507021,-1.92791700304099,-0.305074674391531,0.776754093852742,0.88461992881872,-4.59641413729103,ENST00000447500.4,ENSG00000290784,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-4.03611469990597,-2.12847696826302,-1.76361943460684,0.15866575548393,0.744480464322491,-4.59359700592844,ENST00000590817.3,ENSG00000230092,transcribed_unprocessed_pseudogene,vsmc_C224Y_cluster_CAD_vs_ISO
0.834904817437666,-0.789205253427296,0.655294892282349,0.550915650987472,0.832093187423931,-4.59629422116655,ENST00000473798.2,LINC00115,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.373806419937723,-3.45845908004171,-0.115744195943939,0.913884519577458,0.95758858974672,-4.59562719391743,ENST00000623808.4,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-3.28661956213631,-2.29253310327945,-1.5174222160671,0.209685130293358,0.746850495380119,-4.59411661959236,ENST00000685334.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.1664053277733,1.56099835614465,-0.293740384556706,0.784747864460618,0.888696038949035,-4.60549378810057,ENST00000445118.7,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.413501952410824,-0.900796911574952,-0.378615434772132,0.725764211228419,0.856980025835851,-4.59773050989864,ENST00000669922.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.12734425680818,-4.29774184832925,0.488714371198049,0.652687716095018,0.832093187423931,-4.59536639402793,ENST00000670780.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-1.39555607081087,-0.869379544948378,-1.38570702550369,0.243785441636443,0.750105539166179,-4.59294824212257,ENST00000610067.7,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-6.37116596786197,-3.90293365795011,-3.03030825419155,0.043125194217484,0.733481482836442,-4.59318579998832,ENST00000688309.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
0.114859947006697,-0.566062984042562,0.106678192106506,0.920595985905018,0.961221946938952,-4.59855167086326,ENST00000667414.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.16038688592402,-3.05099493959623,-0.885235057580948,0.430002513515014,0.832093187423931,-4.59526970242009,ENST00000658846.2,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.3716236247596,-4.43125449152383,0.600561838289013,0.58309851171613,0.832093187423931,-4.59531609681076,ENST00000685879.2,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.23193053685474,-4.51510074718915,0.575657293243791,0.598158270040921,0.832093187423931,-4.59532348112397,ENST00000608189.6,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-4.53466470014485,-4.51510074718915,-1.93760339838223,0.130770512990428,0.733481482836442,-4.59421115351935,ENST00000661237.3,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
1.25577829339037,-2.64073487065318,0.448380602778268,0.678965418182259,0.832500061121971,-4.59553734421009,ENST00000416570.6,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-1.75396479985125,-3.46357506815286,-0.596963552041108,0.585258515019797,0.832093187423931,-4.59547449728558,ENST00000609139.7,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.23193053685474,-4.51510074718915,0.575657293243791,0.598158270040921,0.832093187423931,-4.59532348112397,ENST00000701768.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-0.971474365039305,-2.51331501046598,-0.352304493799477,0.743824163510217,0.866464769700739,-4.59601048158555,ENST00000691316.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-5.18674139672454,-4.29774184832925,-2.34526532339693,0.0845073189157197,0.733481482836442,-4.59377320271794,ENST00000668541.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
2.91639002460488,-3.58590352477709,0.48149604011607,0.657346481804442,0.832093187423931,-4.59540089076017,ENST00000702847.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-6.40913381806099,-3.89027770788377,-3.05105418841211,0.0423073887128092,0.733481482836442,-4.59317161436895,ENST00000657175.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.71277263650653,-3.50658904982011,-1.09709903842818,0.339059760943823,0.779930897968939,-4.59501617209237,ENST00000660797.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.61612713007411,-2.19832978855594,-1.16141099635817,0.31513625822976,0.769744772872151,-4.59477180870984,ENST00000670824.1,LINC01128,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
-2.55230796431328,-3.56007727388452,-1.01218844690107,0.373217955977166,0.797053867106468,-4.59510767633696,ENST00000425657.1,LINC01128,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
4.35078283494809,-2.9634985840774,1.46381866539867,0.222929450464762,0.747627857172122,-4.59481744609365,ENST00000427857.1,FAM41C,lncRNA,vsmc_C224Y_cluster_CAD_vs_ISO
