sample,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
WZ12_CADASIL_Control,1.0000,0.2981,0.2582,0.3192,0.3002,0.3060,0.2571
WZ16_CADASIL_C224Y,0.2981,1.0000,0.2494,0.2933,0.9761,0.9624,0.2478
WZ4_CADASIL_Control,0.2582,0.2494,1.0000,0.2505,0.2555,0.2565,0.9673
WZ8_CADASIL_Control,0.3192,0.2933,0.2505,1.0000,0.2908,0.2991,0.2557
XZ5_CADASIL_R153C,0.3002,0.9761,0.2555,0.2908,1.0000,0.9688,0.2534
XZ6_CADASIL_R153C_isoCtrl,0.3060,0.9624,0.2565,0.2991,0.9688,1.0000,0.2553
XZ7_CADASIL_C224Y_isoCtrl,0.2571,0.2478,0.9673,0.2557,0.2534,0.2553,1.0000
