sample,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
WZ12_CADASIL_Control,1.0000,0.3831,0.3501,0.4245,0.3865,0.3902,0.3458
WZ16_CADASIL_C224Y,0.3831,1.0000,0.3563,0.3804,0.9884,0.9797,0.3486
WZ4_CADASIL_Control,0.3501,0.3563,1.0000,0.3508,0.3614,0.3595,0.9871
WZ8_CADASIL_Control,0.4245,0.3804,0.3508,1.0000,0.3791,0.3858,0.3524
XZ5_CADASIL_R153C,0.3865,0.9884,0.3614,0.3791,1.0000,0.9829,0.3528
XZ6_CADASIL_R153C_isoCtrl,0.3902,0.9797,0.3595,0.3858,0.9829,1.0000,0.3534
XZ7_CADASIL_C224Y_isoCtrl,0.3458,0.3486,0.9871,0.3524,0.3528,0.3534,1.0000
