ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000132196.16,HSD17B7,3.4204,3.1442,4.2862,3.8600,3.4035,2.6483,3.5994
ENSG00000132199.20,ENOSF1,3.9401,4.2339,5.0416,4.4050,3.7782,4.3106,3.7189
ENSG00000132205.11,EMILIN2,6.6051,6.1504,6.9583,7.7534,4.8009,6.6453,7.1227
ENSG00000132254.13,ARFIP2,6.4867,5.7057,6.2413,6.2850,5.9642,6.0955,6.2399
ENSG00000132256.20,TRIM5,5.4312,5.7970,5.9164,5.6621,6.0503,5.6557,5.9017
ENSG00000132274.17,TRIM22,6.1797,5.1102,6.7499,6.0714,6.0876,5.6843,5.3873
ENSG00000132275.11,RRP8,3.3673,3.6096,3.9900,4.0783,3.7427,3.4522,3.6922
ENSG00000132286.12,TIMM10B,5.1810,4.7118,5.0362,5.2286,5.1093,4.9692,5.2687
ENSG00000132294.15,EFR3A,6.7488,6.2060,5.9698,6.4917,6.3181,6.7308,6.6651
ENSG00000132300.19,PTCD3,5.6582,6.0557,6.1616,5.9770,5.7589,5.2633,5.5008
ENSG00000132305.22,IMMT,6.5922,6.4314,6.7887,6.7310,6.4240,6.4298,6.4150
ENSG00000132321.17,IQCA1,2.6303,2.0711,2.7167,2.2065,2.5296,2.9772,1.9488
ENSG00000132323.9,ILKAP,4.4182,4.6982,4.8206,4.6258,4.4284,4.0740,4.0384
ENSG00000132326.13,PER2,1.3853,2.1927,1.7483,1.8169,2.1061,1.7238,1.5127
ENSG00000132329.11,RAMP1,4.1433,3.0472,3.1124,3.0009,4.7870,3.2815,3.9658
ENSG00000132330.18,SCLY,1.8656,1.7220,2.3983,2.1464,1.8629,1.4567,1.9488
ENSG00000132334.17,PTPRE,4.1006,2.8145,3.6265,3.8336,3.1285,4.3332,4.2209
ENSG00000132341.12,RAN,8.0343,7.9626,8.4613,8.4645,7.7988,7.6113,7.6371
ENSG00000132356.12,PRKAA1,5.8258,5.9067,5.6896,5.8547,5.6728,5.7982,5.8890
ENSG00000132357.14,CARD6,0.9763,1.2355,1.5818,0.5380,1.2442,1.9491,1.1432
ENSG00000132359.17,RAP1GAP2,4.7475,1.1040,4.2185,5.6448,2.2344,4.6801,4.5780
ENSG00000132361.18,CLUH,5.5689,5.5117,6.1525,6.0706,5.8053,5.7325,5.7874
ENSG00000132376.20,INPP5K,4.7766,4.2213,4.8656,4.7461,4.8317,4.5356,4.7412
ENSG00000132382.15,MYBBP1A,5.8250,5.6156,6.4992,6.3092,5.8824,6.2622,6.4020
ENSG00000132383.12,RPA1,6.1899,6.7314,6.3482,6.5480,6.6306,5.7086,6.0040
ENSG00000132386.11,SERPINF1,4.3003,6.2172,4.1573,3.3596,6.5367,3.2017,3.8129
ENSG00000132388.13,UBE2G1,6.0311,5.9732,6.1771,6.0403,6.3011,6.2115,6.2965
ENSG00000132394.11,EEFSEC,3.5088,4.1761,3.5077,3.5572,3.9122,3.6254,3.3824
ENSG00000132405.19,TBC1D14,6.1518,6.3157,5.6655,5.9976,6.7274,5.7578,6.0121
ENSG00000132406.12,TMEM128,4.1221,3.9067,4.1474,3.8525,3.9313,3.3021,3.4742
ENSG00000132423.12,COQ3,2.6000,2.5059,2.6896,2.8049,2.4700,2.0619,1.8556
ENSG00000132424.17,PNISR,6.3695,7.0385,6.5484,6.5613,6.9342,5.6626,6.0547
ENSG00000132432.14,SEC61G,6.1261,5.0613,5.8589,6.0962,5.2913,5.7173,5.5085
ENSG00000132434.10,LANCL2,6.0835,4.3165,5.1095,5.1542,5.1411,5.9020,5.7096
ENSG00000132436.13,FIGNL1,2.4463,3.0756,3.7006,3.3166,3.6612,2.9184,2.9946
ENSG00000132463.15,GRSF1,6.9314,6.5978,7.0314,7.0581,6.7442,6.9342,6.9627
ENSG00000132466.20,ANKRD17,7.3479,7.5897,7.0769,7.5808,7.5386,7.4534,7.6163
ENSG00000132467.4,UTP3,5.3261,5.1067,5.6469,5.3758,5.0683,5.2031,5.2102
ENSG00000132470.14,ITGB4,2.2838,1.1313,2.1825,1.4301,1.1818,2.2430,0.5293
ENSG00000132471.12,WBP2,7.2873,5.7504,7.2535,6.8643,6.1848,6.9951,7.2415
ENSG00000132475.10,H3-3B,7.9197,8.4307,8.3651,8.1546,8.4341,7.6822,8.0290
ENSG00000132478.10,UNK,4.9048,5.3219,4.9363,4.8683,5.7356,4.6742,4.9625
ENSG00000132481.7,TRIM47,2.9219,2.0282,3.9181,2.7413,1.0485,2.3847,3.0933
ENSG00000132485.14,ZRANB2,6.4820,6.8100,6.4110,6.5198,6.8714,6.1448,6.2499
ENSG00000132507.18,EIF5A,8.4482,7.7374,8.9653,8.9416,7.8047,8.4534,8.8283
ENSG00000132510.11,KDM6B,6.2560,6.1923,6.1073,5.8462,7.4791,6.8912,7.1879
ENSG00000132522.16,GPS2,1.9523,1.8912,2.6434,2.2528,2.5707,1.8687,2.3303
ENSG00000132530.17,XAF1,0.3311,0.0580,0.0575,1.9773,1.4164,0.3153,0.0570
ENSG00000132535.22,DLG4,5.0621,5.7294,5.3715,5.0966,6.1722,5.0850,5.5940
ENSG00000132541.11,RIDA,3.2742,2.7717,3.3669,2.9665,3.0781,3.0397,2.8650
ENSG00000132549.20,VPS13B,5.6819,6.2992,5.5956,5.9127,6.0172,6.1972,6.0336
ENSG00000132554.21,RGS22,0.9997,0.7284,1.2281,1.1653,1.2237,1.6130,0.8845
ENSG00000132561.14,MATN2,6.1347,6.0530,6.8316,6.2354,4.4961,6.0446,5.7843
ENSG00000132563.17,REEP2,5.9325,4.9041,5.8549,5.2798,5.4801,5.2841,4.8819
ENSG00000132570.15,PCBD2,3.6928,3.1575,3.7581,3.8066,3.1879,3.6090,3.5256
ENSG00000132581.10,SDF2,5.9180,5.4855,6.3308,5.7676,5.6690,5.6406,5.5636
ENSG00000132589.16,FLOT2,6.3330,6.3690,6.3803,6.3702,6.0633,6.2108,6.3016
ENSG00000132591.12,ERAL1,5.5271,5.5888,5.7322,5.8195,5.5872,5.1143,5.3859
ENSG00000132600.18,PRMT7,4.8446,5.2459,5.1580,4.6755,5.2627,4.4275,4.7967
ENSG00000132603.15,NIP7,4.7423,4.4335,5.2363,5.0645,4.6169,4.7378,4.8521
ENSG00000132604.11,TERF2,4.6692,4.8227,4.6925,4.8458,5.0840,4.6563,4.7650
ENSG00000132612.16,VPS4A,5.4451,5.5104,5.6850,5.5130,5.7410,5.3755,5.6155
ENSG00000132613.16,MTSS2,6.4105,6.7904,5.4175,6.6473,7.2022,5.7476,6.1698
ENSG00000132622.11,HSPA12B,0.1750,2.4199,0.0575,0.1544,2.4437,0.0973,0.4884
ENSG00000132623.16,ANKEF1,2.0678,1.8259,1.5421,1.9066,1.8892,2.4506,1.3625
ENSG00000132635.17,PCED1A,5.3973,5.8687,5.6609,5.1265,5.8232,4.7603,5.1721
ENSG00000132639.15,SNAP25,1.9996,1.9228,2.1564,1.7047,1.6645,2.0977,2.8409
ENSG00000132640.15,BTBD3,5.1033,6.2052,4.9964,5.1904,6.0320,4.8642,5.2852
ENSG00000132646.11,PCNA,6.1433,6.7095,6.2210,6.3663,6.3957,5.7400,5.5338
ENSG00000132661.4,NXT1,3.6637,3.8504,3.8342,3.8859,3.9687,3.4750,3.7921
ENSG00000132664.13,POLR3F,3.9908,3.7081,3.9715,4.0159,4.0552,3.9394,3.9051
ENSG00000132669.14,RIN2,3.8002,5.6324,3.3950,4.2045,5.8627,4.1355,4.8399
ENSG00000132670.21,PTPRA,6.7195,6.9612,6.8931,6.6038,6.9079,6.4380,6.4353
ENSG00000132676.16,DAP3,6.0876,5.8778,6.5012,6.2447,6.0840,5.9079,6.0608
ENSG00000132680.11,KHDC4,5.4105,5.4025,5.5311,5.6163,5.7642,5.1201,5.2290
ENSG00000132688.11,NES,9.3799,9.4044,10.4001,10.6449,9.5882,9.2089,10.0707
ENSG00000132692.19,BCAN,0.4380,1.1040,1.0970,0.9289,3.4832,0.4318,1.2691
ENSG00000132694.19,ARHGEF11,5.8931,6.8111,5.7344,6.0665,6.7110,5.6567,5.9085
ENSG00000132716.19,DCAF8,5.5361,5.8055,5.6161,5.3876,5.9330,5.2996,5.4498
ENSG00000132718.9,SYT11,6.1668,4.5619,6.6211,5.7425,5.4833,5.7134,6.0712
ENSG00000132740.10,IGHMBP2,4.0952,4.1430,4.4374,4.2764,4.4638,3.9295,4.0733
ENSG00000132749.11,TESMIN,0.5692,1.4239,1.1509,0.5749,1.0943,0.4687,0.3584
ENSG00000132763.15,MMACHC,2.7801,3.5144,2.9995,2.9735,3.4745,2.6642,2.7137
ENSG00000132768.14,DPH2,5.0621,4.3861,5.2395,5.1093,4.7800,4.8831,4.9550
ENSG00000132773.12,TOE1,2.7178,3.7658,3.3612,3.3806,3.0838,2.6800,2.5447
ENSG00000132780.17,NASP,6.2480,7.8992,6.6401,7.0020,7.4839,5.5457,5.6690
ENSG00000132781.21,MUTYH,0.5375,1.0188,1.2773,0.9849,0.9015,0.7638,0.8527
ENSG00000132792.20,CTNNBL1,4.9477,5.2095,5.2838,5.2037,5.4823,4.6722,4.9456
ENSG00000132793.12,LPIN3,3.7766,3.2287,4.4563,4.1867,3.2899,3.6376,3.9243
ENSG00000132801.7,ZSWIM3,2.8591,2.8060,2.5463,2.8204,3.0435,2.2641,2.3303
ENSG00000132819.17,RBM38,6.4349,6.0332,6.2698,6.0535,6.1815,5.8000,5.8762
ENSG00000132821.12,VSTM2L,3.7388,4.0206,2.1954,1.7377,5.3060,4.0948,4.5006
ENSG00000132823.11,OSER1,5.1314,4.7163,4.9189,5.0935,4.9026,4.3357,4.8338
