ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000006327.14,TNFRSF12A,5490,778,9112,4528,1733,6005,5952
ENSG00000006377.11,DLX6,133,0,13,0,1,59,2
ENSG00000006432.16,MAP3K9,1606,315,572,903,719,1458,1183
ENSG00000006451.8,RALA,1863,1191,1149,1661,1778,1951,1463
ENSG00000006453.14,BAIAP2L1,1031,461,704,931,308,1051,470
ENSG00000006459.11,KDM7A,267,282,105,268,484,201,198
ENSG00000006468.15,ETV1,717,160,263,259,816,831,671
ENSG00000006530.18,AGK,773,680,732,725,747,618,604
ENSG00000006534.17,ALDH3B1,138,114,99,125,33,110,94
ENSG00000006576.17,PHTF2,2394,1773,1701,1743,2898,2217,2112
