ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000268812.3,LIF-AS2,2.4185,0.0000,1.3832,0.5272,0.3672,0.6630,0.4029
ENSG00000268858.2,ENSG00000268858,5.7721,5.2546,3.7022,4.4816,7.1779,4.5363,4.2708
ENSG00000268894.7,PLCE1-AS1,1.8058,2.2168,3.2140,8.2477,3.5055,3.0708,2.2160
ENSG00000268895.6,A1BG-AS1,18.4771,11.9460,14.7680,13.4825,14.1555,16.1564,15.5523
ENSG00000268912.1,ENSG00000268912,0.4514,2.9968,1.6273,1.2428,2.6041,0.9422,1.2087
ENSG00000268941.2,LINC01711,0.9029,0.2463,0.4068,1.1675,1.5024,0.9771,1.0879
ENSG00000268996.3,MAN1B1-DT,1.3543,0.7800,0.9764,1.0545,1.6025,1.0468,1.3296
ENSG00000269044.2,ENSG00000269044,4.0953,3.5304,6.1025,3.6154,1.6693,2.5473,2.4175
ENSG00000269113.4,TRABD2B,0.1612,4.7209,1.2205,0.4896,3.6056,1.2562,2.4577
ENSG00000269176.2,ENSG00000269176,1.1609,0.7800,0.8543,0.9039,1.0683,0.7677,0.9267
ENSG00000269190.6,FBXO17,17.7677,30.1317,18.3888,15.6669,37.5922,18.9829,20.3469
ENSG00000269293.5,ZSCAN16-AS1,6.9974,5.2956,3.4581,3.5778,6.5770,3.2452,3.5859
ENSG00000269313.6,MAGIX,2.1605,1.5600,0.9357,1.0545,1.9030,0.8724,0.4432
ENSG00000269335.7,IKBKG,4.8692,4.1872,6.8348,6.8542,5.2081,4.0129,5.7213
ENSG00000269343.9,ZNF587B,5.3529,6.8145,8.1366,8.1347,6.2765,7.9910,6.3257
ENSG00000269352.1,PTOV1-AS2,3.6116,3.6125,9.5198,6.3270,4.2066,2.8963,3.9485
ENSG00000269386.6,RAB11B-AS1,2.6764,2.5041,2.2783,2.1843,5.6755,3.3848,4.1903
ENSG00000269416.7,LINC01224,1.0964,2.8736,2.1562,2.8246,3.4053,0.7677,1.5713
ENSG00000269556.9,TMEM185A,19.1543,16.4616,16.3953,13.6332,15.7246,12.4226,14.8271
ENSG00000269609.6,C10orf95-AS1,3.8696,4.4746,2.4410,2.7116,3.3052,1.2213,1.7728
ENSG00000269713.9,NBPF9,29.5376,22.9067,27.3390,31.2584,24.8723,16.6798,17.6071
ENSG00000269743.3,SLC25A53,4.0308,4.9262,4.3124,4.6699,7.0444,4.9202,4.4723
ENSG00000269821.2,KCNQ1OT1,4.2565,17.4879,7.0382,6.1010,11.0506,9.3170,8.1388
ENSG00000269825.3,ENSG00000269825,4.9337,5.8703,1.3019,7.8334,3.9729,3.7687,2.5383
ENSG00000269834.8,ZNF528-AS1,1.2576,1.6010,0.1627,0.0753,2.1033,3.9780,0.0806
ENSG00000269858.6,EGLN2,8.2873,12.5617,11.5540,11.9761,11.8185,4.0827,8.2999
ENSG00000269893.10,SNHG8,17.9934,19.2942,14.9307,18.6420,13.3876,15.7027,9.2266
ENSG00000269918.1,ENSG00000269918,2.8054,2.3810,4.2310,2.2973,2.6041,2.9312,3.5859
ENSG00000269929.6,MIRLET7A1HG,2.5475,3.5304,2.9699,2.4479,2.3370,0.9422,1.6116
ENSG00000269934.3,ENSG00000269934,2.4830,4.6388,1.4646,1.9960,4.9077,3.0359,3.4247
ENSG00000269937.1,ENSG00000269937,0.4192,1.0263,0.5696,0.7909,0.6677,1.2213,0.8864
ENSG00000269940.1,ENSG00000269940,6.2880,3.8999,6.6313,6.6659,4.4737,4.6061,6.0839
ENSG00000269958.1,ENSG00000269958,9.6416,4.7209,12.4490,8.9632,5.3417,6.3160,4.7543
ENSG00000269964.4,MEI4,1.6768,0.9031,0.3661,0.6779,1.8028,0.7328,0.3223
