ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000250363.1,KRT18P21,0,0,1,0,0,0,2
ENSG00000250365.7,HEATR5A-DT,3,5,3,3,6,9,5
ENSG00000250366.4,TUNAR,10,11,12,19,172,34,50
ENSG00000250371.1,ENSG00000250371,0,0,0,0,1,0,0
ENSG00000250372.1,MARK2P4,0,0,0,0,0,0,0
ENSG00000250374.5,TRIM75,0,0,0,0,0,0,0
ENSG00000250375.2,ENSG00000250375,0,0,0,0,1,0,0
ENSG00000250376.1,ENSG00000250376,0,0,0,1,0,3,0
ENSG00000250377.2,ENSG00000250377,0,0,0,0,0,0,0
ENSG00000250378.4,ENSG00000250378,1,0,0,0,34,0,0
ENSG00000250379.1,ENSG00000250379,0,0,0,1,0,0,2
ENSG00000250381.1,UNC93B4,0,0,0,0,0,0,0
ENSG00000250383.1,ENSG00000250383,0,0,0,0,0,0,0
ENSG00000250384.1,UBE2CP3,0,0,0,0,0,0,0
ENSG00000250385.2,ENSG00000250385,0,0,1,0,0,0,0
ENSG00000250386.1,H3P21,0,0,1,0,0,0,1
ENSG00000250387.3,LINC02197,0,0,0,0,0,0,0
ENSG00000250389.1,MTND6P2,0,0,0,0,0,0,0
ENSG00000250390.2,ENSG00000250390,0,0,1,0,1,0,0
ENSG00000250391.1,CRLF3P2,0,0,0,0,0,0,0
ENSG00000250392.2,LINC02502,0,0,0,0,0,0,0
ENSG00000250393.1,ENSG00000250393,0,0,0,0,0,0,0
ENSG00000250397.2,ENSG00000250397,9,11,5,5,10,3,7
ENSG00000250398.1,ENSG00000250398,0,0,0,0,0,0,0
ENSG00000250402.2,ENSG00000250402,0,0,0,0,0,0,0
ENSG00000250403.1,ENSG00000250403,0,0,0,0,0,1,0
ENSG00000250405.2,ENSG00000250405,0,0,0,0,0,0,0
ENSG00000250406.2,ENSG00000250406,0,1,0,0,1,0,1
ENSG00000250407.1,ENSG00000250407,4,0,4,10,1,4,7
