gene_id,gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,contrast
ENSG00000000003.16,TSPAN6,0.174050321172858,6.23524619098966,0.590454685179009,0.589679137913979,0.799047299093444,-6.57781781242731,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000000005.6,TNMD,5.03897451213138,-2.44045727359836,2.23673564307157,0.0958216995056817,0.408069261313416,-3.96922837039508,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000000419.14,DPM1,-0.428244614302126,4.69333660583654,-1.7029160288306,0.17106712510293,0.501020876011715,-5.37718058526859,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000000457.14,SCYL3,0.631927305314662,3.59264008982723,1.71725887775711,0.168344886289813,0.49776761257232,-5.09853842899287,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000000460.17,C1orf112,1.48885778744001,3.31780212347695,3.02943075492072,0.0440332935762685,0.334409763349683,-3.56055291711473,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000000971.17,CFH,0.768479704961453,2.13913345803065,0.708421318042795,0.521520799469536,0.757161903278969,-5.8390824037486,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000001036.14,FUCA2,-0.922302663526811,6.2045429695715,-3.21282987590125,0.0373381605079756,0.326444758082874,-3.74080451716836,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000001084.13,GCLC,-0.287220065567304,4.8720596044158,-1.15388625285572,0.318840753967602,0.624797996635199,-6.01511725674918,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000001167.15,NFYA,0.477487400882554,6.2187893758955,2.01277799065088,0.121612422811616,0.441249924788405,-5.08242283253478,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000001460.18,STPG1,0.0967645353971513,2.50486881340204,0.209935573798127,0.844969947690056,0.934149887552886,-6.21309833059171,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000001461.17,NIPAL3,-1.48419553696958,5.36392569101332,-6.24120715681315,0.00461797299724162,0.262805145035513,-1.36982311539823,vsmc_C224Y_cluster_CAD_vs_ISO
