gene_id,gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,contrast
ENSG00000000003.16,TSPAN6,0.0262522580501232,6.2407228889228,0.133634398119957,0.896960201851538,0.940334800021546,-7.18705540134349,vsmc_pooled_CAD_vs_nonCAD
ENSG00000000005.6,TNMD,4.76323163809433,-4.16252096387457,5.32314605498398,0.000685465947413963,0.0163652958339416,-0.212432917632122,vsmc_pooled_CAD_vs_nonCAD
ENSG00000000419.14,DPM1,-0.491802528725238,4.87105566528312,-3.58136845913447,0.00705725654166809,0.051963525504091,-2.81683782206995,vsmc_pooled_CAD_vs_nonCAD
ENSG00000000457.14,SCYL3,0.690684811421814,3.27022869738564,3.7494741081603,0.00552839315688362,0.0454150644458043,-2.37620620038786,vsmc_pooled_CAD_vs_nonCAD
ENSG00000000460.17,C1orf112,1.09797323871625,2.99402020757988,3.60451274592173,0.00682240746119395,0.0510432476467712,-2.56668302310379,vsmc_pooled_CAD_vs_nonCAD
ENSG00000000971.17,CFH,0.0550320460351722,2.2854204484993,0.0751474606400917,0.941924669745149,0.966785801164976,-6.60416051393125,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001036.14,FUCA2,-0.85342228576115,6.47230348048854,-4.8350206949632,0.00126026576363628,0.0210088066269979,-1.0935619248621,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001084.13,GCLC,-0.121197351318267,4.82709418371826,-0.614436633721759,0.555829251186686,0.714001107094778,-6.89525874238464,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001167.15,NFYA,0.495349088304372,5.991587832339,3.89991144496163,0.00445818470452108,0.0408615545992988,-2.43504895211479,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001460.18,STPG1,0.0447921792965863,2.46386843072513,0.181743996777626,0.86026034778286,0.917542209800853,-6.61892891102945,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001461.17,NIPAL3,-1.26523386320901,5.74113131212479,-5.87698564325916,0.000357421017563122,0.0119621714295536,0.295198003402994,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001497.18,LAS1L,-0.224211491174137,5.2756954777651,-1.14706153547068,0.28418521188814,0.473920141962605,-6.46637138034918,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001561.7,ENPP4,-2.01382471390408,3.24882695388848,-3.20217990042035,0.0124080563960805,0.0720631496214081,-2.97391676613747,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001617.12,SEMA3F,1.29682806058505,5.74512640733709,2.08524708199013,0.0701944449448728,0.200296478470514,-5.2428224672288,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001626.18,CFTR,-2.33559624431567,-3.47400521101468,-1.36658678304312,0.208568988091836,0.392340879417128,-4.74008029540856,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001629.10,ANKIB1,0.0162163763631529,6.54875234416183,0.0827606507535077,0.936055436699896,0.963284010997666,-7.19335909845802,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001630.18,CYP51A1,-0.00794574978170839,2.95809034794241,-0.0284805373566679,0.977969790028078,0.986454889936485,-6.73762113855843,vsmc_pooled_CAD_vs_nonCAD
ENSG00000001631.17,KRIT1,-0.0780200214750451,2.66713895511528,-0.264801969559626,0.797791929985678,0.878432764780685,-6.6304623595987,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002016.18,RAD52,0.402286728760168,2.62592824666368,0.905169574091031,0.391566302255513,0.576660351791954,-6.2737126955654,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002330.14,BAD,-0.0729217319803277,4.98992086758011,-0.531482168739895,0.609381332998267,0.752554634758616,-6.96849817744801,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002549.13,LAP3,-0.382186664344127,5.51511431524329,-1.82349769099827,0.105315525960749,0.256389010053843,-5.60644268132143,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002587.10,HS3ST1,0.930940209965638,-0.408365413939501,1.40229003135121,0.198059730533605,0.380382676036312,-5.25435800627041,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002745.13,WNT16,2.09488659618162,-3.12118835997379,1.7434616301232,0.119041538382019,0.277401741853307,-4.52373325260078,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002746.15,HECW1,-1.97453605451804,1.63455060346142,-1.69583527736464,0.127985295234796,0.290152545246636,-4.97758258130375,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002822.16,MAD1L1,-0.65667428165291,-2.94936432881548,-1.00222124771843,0.345302555674671,0.534377612238242,-5.22729966326911,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002834.19,LASP1,-0.471011517658985,9.01214406348773,-3.19534496242179,0.0125369085395438,0.0724727367741001,-3.450269700242,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002919.15,SNX11,-0.964727911402145,4.24793078093512,-4.28367023446183,0.00261350813679469,0.0307253351623173,-1.64247216409442,vsmc_pooled_CAD_vs_nonCAD
ENSG00000002933.9,TMEM176A,5.91795570101371,-1.03207284133797,4.34068282566123,0.00241862005010237,0.0295028011253608,-1.15073790709014,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003056.8,M6PR,-0.825203025232499,6.63111440341778,-4.17087154880101,0.00305088147922358,0.0332155113948328,-2.03493708728122,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003096.15,KLHL13,0.0440674244697816,0.625153451700816,0.103648663761627,0.919974694256073,0.95375248899246,-6.30213998235037,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003137.9,CYP26B1,0.431560970170745,0.730184271076817,0.692607446595863,0.507969532062584,0.676248258312889,-6.09899924592052,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003147.19,ICA1,-1.59341473738716,1.42050271771139,-2.87664892277864,0.0204048490805045,0.0957847460969138,-3.25777869672617,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003249.15,DBNDD1,0.0434361069857462,3.00111596014468,0.0620824745724063,0.952005432882576,0.972552312728962,-6.74259807986917,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003393.16,ALS2,-0.125176115861446,6.48691464381402,-0.483580888355647,0.641516293822307,0.776695732106423,-7.06894433344279,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003400.16,CASP10,-0.660116829671688,-1.69768116586993,-0.89888079366186,0.394713523093364,0.579235612245965,-5.49615658087419,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003402.21,CFLAR,-1.49988042846712,6.26467976958217,-5.9070477689385,0.000345407571352905,0.0117905434128458,0.309526385648184,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003436.16,TFPI,-0.810893829514071,5.90816453460935,-1.56053562664449,0.156882963218939,0.329060277357303,-5.98450931402094,vsmc_pooled_CAD_vs_nonCAD
ENSG00000003509.16,NDUFAF7,-0.250997798788082,3.81930457565554,-0.895800074355336,0.396261921112755,0.580693424128082,-6.48589173366001,vsmc_pooled_CAD_vs_nonCAD
